Date : 2025-12-13 00:26:38
Directory : /home/bibek/Projects/Rapid-Room/server
Total : 177 files,  7911 codes, 529 comments, 305 blanks, all 8745 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      3,698 |          0 |          3 |      3,701 |
| JavaScript         |         75 |      3,543 |        217 |         75 |      3,835 |
| MS SQL             |         20 |        289 |        211 |        119 |        619 |
| Prisma             |          1 |        202 |          7 |         24 |        233 |
| TypeScript         |         75 |        162 |          5 |         75 |        242 |
| JSON with Comments |          1 |         14 |         89 |          9 |        112 |
| Ignore             |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        177 |      7,911 |        529 |        305 |      8,745 |
| . (Files)                                                                                                                           |          6 |      3,715 |         89 |         12 |      3,816 |
| dist                                                                                                                                |        150 |      3,705 |        222 |        150 |      4,077 |
| dist (Files)                                                                                                                        |          4 |         75 |         11 |          4 |         90 |
| dist/config                                                                                                                         |          2 |         87 |          1 |          2 |         90 |
| dist/controller                                                                                                                     |        100 |      3,146 |        202 |        100 |      3,448 |
| dist/db                                                                                                                             |          2 |          7 |          1 |          2 |         10 |
| dist/helper                                                                                                                         |          2 |         17 |          0 |          2 |         19 |
| dist/middleware                                                                                                                     |          6 |         73 |          2 |          6 |         81 |
| dist/routes                                                                                                                         |         24 |        180 |          3 |         24 |        207 |
| dist/utils                                                                                                                          |         10 |        120 |          2 |         10 |        132 |
| prisma                                                                                                                              |         21 |        491 |        218 |        143 |        852 |
| prisma (Files)                                                                                                                      |          1 |        202 |          7 |         24 |        233 |
| prisma/migrations                                                                                                                   |         20 |        289 |        211 |        119 |        619 |
| prisma/migrations/20250117141352_init                                                                                               |          1 |         87 |         22 |         30 |        139 |
| prisma/migrations/20250121133508_init                                                                                               |          1 |         35 |         35 |         27 |         97 |
| prisma/migrations/20250121161948_payment_added                                                                                      |          1 |         28 |         19 |         15 |         62 |
| prisma/migrations/20250121163740_payment_added                                                                                      |          1 |          6 |         12 |          5 |         23 |
| prisma/migrations/20250121181957_update_foreservation                                                                               |          1 |          5 |         11 |          2 |         18 |
| prisma/migrations/20250129084935_added_longitude_latitude_and_unique_in_review                                                      |          1 |          3 |          8 |          2 |         13 |
| prisma/migrations/20250206011312_hotel_change                                                                                       |          1 |         32 |         20 |          6 |         58 |
| prisma/migrations/20250216014344_added_hotel_draft                                                                                  |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20250226154844_added_admin_schema                                                                                 |          1 |         19 |          2 |          2 |         23 |
| prisma/migrations/20250227174006_gov_id_and_ph_number_made_bigint                                                                   |          1 |          2 |          1 |          1 |          4 |
